 ,,,,,,Kuttch,,,,,,,,,,Patan,,,,,,,Sabarkantha,,,,,,,Gandhi Nagar,,,Ahmedabad,,,,,,,Kheda,,,,,,,Surat,,,,,,,,,,Navsari,,,,,,,,,,
,,,,Overall Total,,Bhuj,Anjar,Rapar,Mundra,Mandvi,Abdasa,Bhachau,Gandhidham,Lakhpat,Nakhatrana,Santalpur,Harij,Chinasma,Sami,Radhanpur,Shankheshvar,Sarasawati,Talod,Prantij,Idar,Khedbrahma,Poshina,Vadali,Vijaynagar,Kalol,Dehgam,Mansa,Bavla,Dholka,Detroj Rampura,Dhandhuka,Dholera,Mandal,Viramgam,Kheda,Kathlal,Mahudha,,,,,Olpad,Adajan,Bardoli,Chorasi,Mahuva,Majura,Mandvi,Mangrol,Palsana,Umarpada,Navsari,Jalalpore,Chikhali,Gandevi,Khergam,Vansda,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MG Total,,,,,,,,,,,,,,,,,,,,,,NG Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Villages,,,1833,,77,56,94,31,85,0,0,0,0,66,66,43,54,43,53,0,60,68,53,127,0,0,49,0,43,82,47,42,62,48,43,9,32,72,4,59,10,,,1578,,48,0,0,0,0,0,0,0,0,59,15,55,21,42,1,14,,,,,255
,Total Majra,,,66,,24,40,129,1,51,0,0,0,0,14,3,8,6,6,12,0,3,53,5,26,0,0,49,0,19,48,10,3,10,11,1,1,1,6,4,108,19,,,24,,0,0,0,0,0,0,0,0,0,8,2,0,11,11,0,10,,,,,42
,Data Capture status,,,,,Yellow zone pending,Yellow zone pending,On Hold,Yellow zone pending,Completed,Yet to Start,Yet to Start,Yet to Start,Yet to Start,Yet to Start,Completed,Completed,Completed,Running,Running,Running,Completed,Completed,Completed,Completed,Running,Running,Running,Running,Completed,Completed,Completed,Completed,Completed,Running,Yet to Start,On Hold,Completed,Completed,Completed,Completed,Completed,,,,,Completed,Yet to Start,Yet to Start,Yet to Start,Yet to Start,Yet to Start,Yet to Start,Yet to Start,Yet to Start,Completed,Completed,Completed,Completed,Completed,Completed,Completed,,,,,
,Reflying status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processing Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average Area Per Village + Majra,,,17.80,,120.91,30.81,0.00,14.90,70.27,0.00,0.00,0.00,0.00,0.00,44.68,40.77,61.49,0.00,0.00,0.00,29.62,77.14,30.43,0.00,0.00,0.00,13.38,0.00,17.02,9.03,0.00,18.74,24.99,0.00,13.29,0.00,0.00,0.00,0.00,0.00,0.00,,,16.69,,17.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,1.1119375
,Total Area,,,635.25,,120.91,30.81,0.00,14.90,70.27,0.00,0.00,0.00,0.00,0.00,44.68,40.77,61.49,0.00,0.00,0.00,29.62,77.14,30.43,0.00,0.00,0.00,13.38,0.00,17.02,9.03,0.00,18.74,24.99,0.00,13.29,0.00,0.00,0.00,0.00,0.00,0.00,,,617.46,,17.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,17.79
Difference between Processed and flown,,,,-492.32,,73.87,0.59,-17.29,-61.12,-11.92,0.00,0.00,0.00,0.00,-40.97,-13.91,0.00,40.20,-37.44,-39.68,0.00,-13.01,35.17,-7.60,-96.05,0.00,0.00,-36.37,0.00,-11.17,-41.54,-25.49,-4.49,0.77,-23.20,-11.65,-4.38,0.00,-38.35,0.00,-0.64,0.00,,,-385.68,,-47.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.88,-57.36,,,,,-106.64
Total Processing & Re-flying Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
